lib/components/about/about_component.js:17 lib/components/header_menu/header_menu_component.js:50,About Arrival Advisor,À propos d’Arrival Advisor
lib/components/about/about_component.js:20,"Arrival Advisor is a free, multilingual, mobile app that helps immigrants and refugees in British Columbia, Canada find information and services to navigate their settlement journey. The app is currently available in English, French (Canadian), and Arabic. It will soon be available in Chinese Simplified, Chinese Traditional, Korean, Punjabi, and Tagalog.","Arrival Advisor est une application mobile multilingue gratuite qui fournit aux immigrants et aux réfugiés en Colombie-Britannique (Canada) des informations et des services pour préparer leur établissement. L’application est offerte en anglais, en français (canadien) et en arabe. Elle sera bientôt disponible en chinois (simplifié et traditionnel), en coréen, en punjabi et en tagalog."
lib/components/about/about_component.js:28,"From finding a job to learning English, accessing health care, and more, Arrival Advisor has everything you need to get started in your new community. Explore newcomer topics and services without ever needing to create an account. Access important information no matter where you are: the newcomer topics provided by Arrival Advisor are saved to your phone so you can view them, even without internet. You can fill out some questions to get personalized recommendations of topics and services to settle in British Columbia. Arrival Advisor is anonymous and your answers are only used to operate the app's recommendations. We never save or share your personal data with funders or any third parties.","Trouver un emploi, apprendre l’anglais, accéder à des soins de santé, et bien plus. Arrival Advisor offre tout ce dont vous avez besoin pour amorcer votre établissement dans une nouvelle communauté. Découvrez des sujets et des services à l’intention des nouveaux arrivants, sans jamais avoir à créer un compte. Accédez à des renseignements importants peu importe où vous êtes; les sujets à l’intention des nouveaux arrivants fournis par Arrival Advisor sont sauvegardés sur votre téléphone, vous pouvez donc les consulter sans avoir accès à Internet. Répondez à quelques questions afin d’obtenir des recommandations personnalisées de sujets et de services qui faciliteront votre établissement en Colombie-Britannique. Arrival Advisor est anonyme et vos réponses ne sont utilisées qu’afin que l’application formule des recommandations. Nous ne sauvegardons jamais vos renseignements personnels et ne les partageons jamais avec des partenaires financiers ou des tierces parties."
lib/components/about/about_component.js:39,"The Arrival Advisor app is designed in partnership with settlement providers in Metro Vancouver, and immigrants and refugees like you. We gratefully acknowledge the financial support of the Province of British Columbia through the Ministry of Jobs, Trade and Technology, as well as Google.org Canada. Special thanks also goes to individual donors who make this project possible. Arrival Advisor is an open-source project. You can {githubLink} and {contactLink} to learn how you can support this project.","L’application Arrival Advisor est conçue en partenariat avec des organismes d’aide à l’établissement du Grand Vancouver ainsi que des immigrants et des réfugiés comme vous. Pour leur soutien financier, nous remercions sincèrement la province de la Colombie-Britannique, par l’entremise du ministère de l’Emploi, du Commerce et de la Technologie, ainsi que Google.org Canada. Nous souhaitons également remercier les donateurs individuels, grâce à qui ce projet a été rendu possible. Arrival Advisor est un projet libre, auquel les utilisateurs peuvent contribuer. Cliquez sur {githubLink} et {contactLink} pour savoir comment soutenir ce projet."
lib/components/about/about_component.js:48,Information in this app is provided by the {welcomeBCLink} Copyright 2018 Province of British Columbia. All rights reserved.,Les renseignements inclus dans cette application sont fournis par {welcomeBCLink} Copyright 2018 Province de la Colombie-Britannique. Tous droits réservés.
lib/components/about/about_component.js:54,This is Arrival Advisor version: 1.0.3,Version d’Arrival Advisor : 1.0.3
lib/components/about/about_component.js:59,Server version: {0},Version du serveur : {0}
lib/components/bookmarked_topics/bookmarked_topics_component.js:12,My bookmarks,Mes favoris
lib/components/bookmarked_topics/bookmarked_topics_component.js:15,Save important topics to build your personal plan for settlement.,Sauvegardez les sujets importants afin de créer votre plan personnalisé d’établissement.
lib/components/disclaimer/disclaimer_component.js:11,"Arrival Advisor contains information from the BC Government’s Newcomer’s Guide, available at: www.welcomebc.ca, and the BC211 database of service providers, available at: www.bc211.ca.","Arrival Advisor contient des renseignements tirés du guide à l’intention des nouveaux arrivants en Colombie-Britannique disponible à l’adresse www.welcomebc.ca, et de la base de données de fournisseurs de services BC211 que vous pouvez consulter sur le site www.bc211.ca."
lib/components/disclaimer/disclaimer_component.js:17,"The app provides information about relevant newcomer services, and is intended for general guidance and reference only. While we aim to provide accurate and timely information, we do not have control over the ongoing accuracy of the information or the quality of the services provided. If you discover that a piece of information is outdated or not useful, please let us know in the feedback section of the app. The inclusion of services and resources in this app does not imply an endorsement or recommendation of those services over others. Utlization of services located through the app is undertaken at the risk of the user.","L’application offre des renseignements au sujet des services pertinents offerts aux nouveaux arrivants. Elle a été conçue à des fins d’orientation et de consultation générale seulement. Bien que nous visions à fournir des renseignements précis et opportuns, nous n’avons aucun contrôle sur l’exactitude de l’information ou la qualité des services offerts. Si vous notez qu’un élément d’information est obsolète ou inutile, veuillez nous en faire part dans la section réservée à la rétroaction. Le fait que des services et des ressources apparaissent dans cette application ne signifie pas qu’ils sont promus ou recommandés plus que d’autres. Les risques associés à l’utilisation des services trouvés par l’entremise de l’application sont assumés par l’utilisateur."
