location,source,target
lib/components/services/service_list_error_component.js:33,An error has occured.,TODO 1
lib/components/disclaimer/disclaimer_component.js:18,"Arrival Advisor contains information from the BC Government’s Newcomer’s Guide, available at: {welcomeBCLink}, and the BC211 database of service providers, available at: {bc211Link}.",TODO 2
lib/components/about/about_component.js:56,Copyright 2018 Province of British Columbia. All rights reserved.,Copyright 2018 Province de la Colombie-Britannique. Tous droits réservés.
lib/components/welcome/welcome_component.js:49,Created by,Créé par
lib/components/services/service_list_item_component.js:55,Email:,Courriel :
lib/components/services/service_list_error_component.js:28,"Fetching your location timed out. On Android devices you may need to set your location mode to ""High accuracy"".",TODO 3
lib/components/about/about_component.js:30,"From finding a job to learning English, accessing health care, and more, Arrival Advisor has everything you need to get started in your new community. Explore topics and services without ever needing to create an account. Access important information no matter where you are: the newcomer topics provided by Arrival Advisor are saved to your phone so you can view them, even without internet. You can fill out some questions to get personalized recommendations of topics and services to settle in British Columbia. Arrival Advisor is anonymous and your answers are only used to operate the app's recommendations. We never save or share your personal data with funders or any third parties.","Trouver un emploi, apprendre l’anglais, accéder à des soins de santé, et bien plus. Arrival Advisor offre tout ce dont vous avez besoin pour amorcer votre établissement dans une nouvelle communauté. Découvrez des sujets et des services sans jamais avoir à créer de compte. Accédez à des renseignements importants peu importe où vous êtes; les sujets à l’intention des nouveaux arrivants fournis par Arrival Advisor sont sauvegardés sur votre téléphone, vous pouvez donc les consulter sans avoir accès à Internet. Répondez à quelques questions afin d’obtenir des recommandations personnalisées de sujets et de services qui faciliteront votre établissement en Colombie-Britannique. Arrival Advisor est anonyme et vos réponses ne sont utilisées qu’afin que l’application formule des recommandations. Nous ne sauvegardons jamais vos renseignements personnels et ne les partageons jamais avec des fournisseurs de fonds ou des tierces parties."
lib/components/about/about_component.js:54,Information in this app is provided by the,Les renseignements fournis par cette application sont tirés du
lib/components/questionnaire/new_topics_modal_component.js:55,No new topics recommended based on your answers.,Aucun nouveau sujet n’a été recommandé en fonction de vos réponses.
lib/components/services/service_list_error_component.js:23,Please ensure location services are enabled for Arrival Advisor.,TODO 4
lib/components/about/about_component.js:63,Server version:,Version du serveur :
lib/components/about/about_component.js:41,"The Arrival Advisor app is created by PeaceGeeks in partnership with settlement organizations in Metro Vancouver, as well as immigrants and refugees like you. This project is possible thanks to funding by the Province of British Columbia and Google.org Canada in partnership with LEAP | Pecaut Centre for Social Impact. Special thanks also goes to individual donors who make this project possible. Arrival Advisor is an open-source project. You can","L’application Arrival Advisor est le fruit du travail de PeaceGeeks, en partenariat avec des organismes d’aide à l’établissement du Grand Vancouver ainsi que des immigrants et des réfugiés comme vous. Ce projet a été rendu possible grâce au financement de la province de la Colombie-Britannique et de Google.org Canada, en partenariat avec LEAP | Pecaut Centre for Social Impact. Nous remercions aussi tout particulièrement les individus qui ont fait des dons afin que ce projet prenne vie. Arrival Advisor est un projet libre."
lib/components/about/about_component.js:59,This is Arrival Advisor version:,Version d’Arrival Advisor :
lib/components/services/service_list_item_component.js:46,Web:,Site Web :
lib/components/about/about_component.js:49,and,TODO 5
lib/components/about/about_component.js:51,to learn how you can support this project.,TODO 6
